  0.1866E+01  0.1878E+01  0.9938E+00
  0.1803E+01  0.1806E+01  0.9986E+00
  0.1785E+01  0.1785E+01  0.1000E+01
  0.1801E+01  0.1801E+01  0.9999E+00
  0.1804E+01  0.1806E+01  0.9990E+00
  0.1864E+01  0.1865E+01  0.9996E+00
  0.1787E+01  0.1787E+01  0.9997E+00
  0.1805E+01  0.1807E+01  0.9990E+00
  0.1788E+01  0.1789E+01  0.9997E+00
  0.1787E+01  0.1789E+01  0.9987E+00
  0.1785E+01  0.1789E+01  0.9978E+00
  0.1884E+01  0.1888E+01  0.9978E+00
  0.1990E+01  0.1996E+01  0.9968E+00
  0.1929E+01  0.1934E+01  0.9978E+00
  0.1857E+01  0.1858E+01  0.9992E+00
  0.1859E+01  0.1863E+01  0.9979E+00
  0.1883E+01  0.1887E+01  0.9980E+00
  0.1878E+01  0.1879E+01  0.9994E+00
  0.1758E+01  0.1762E+01  0.9981E+00
  0.1798E+01  0.1803E+01  0.9972E+00
