  0.2019E+01  0.2021E+01  0.9993E+00
  0.2131E+01  0.2135E+01  0.9984E+00
  0.2240E+01  0.2243E+01  0.9985E+00
  0.2320E+01  0.2321E+01  0.9997E+00
  0.2316E+01  0.2322E+01  0.9975E+00
  0.2366E+01  0.2367E+01  0.9997E+00
  0.2406E+01  0.2409E+01  0.9988E+00
  0.2496E+01  0.2499E+01  0.9990E+00
  0.2477E+01  0.2479E+01  0.9991E+00
  0.2592E+01  0.2598E+01  0.9979E+00
  0.2532E+01  0.2533E+01  0.9996E+00
  0.2596E+01  0.2597E+01  0.9997E+00
  0.2654E+01  0.2656E+01  0.9990E+00
  0.2832E+01  0.2833E+01  0.9995E+00
  0.2766E+01  0.2776E+01  0.9963E+00
  0.2795E+01  0.2796E+01  0.9997E+00
  0.2783E+01  0.2784E+01  0.9996E+00
  0.2791E+01  0.2792E+01  0.9998E+00
  0.3091E+01  0.3095E+01  0.9989E+00
  0.2783E+01  0.2785E+01  0.9992E+00
