  0.2075E+01  0.2083E+01  0.9962E+00
  0.2173E+01  0.2179E+01  0.9975E+00
  0.2550E+01  0.2572E+01  0.9913E+00
  0.2290E+01  0.2301E+01  0.9952E+00
  0.2394E+01  0.2395E+01  0.9998E+00
  0.2419E+01  0.2423E+01  0.9984E+00
  0.2459E+01  0.2465E+01  0.9975E+00
  0.2480E+01  0.2479E+01  0.1000E+01
  0.2507E+01  0.2507E+01  0.1000E+01
  0.2540E+01  0.2541E+01  0.9995E+00
  0.2582E+01  0.2594E+01  0.9954E+00
  0.2518E+01  0.2519E+01  0.9996E+00
  0.2673E+01  0.2675E+01  0.9995E+00
  0.2704E+01  0.2708E+01  0.9984E+00
  0.2686E+01  0.2691E+01  0.9980E+00
  0.2734E+01  0.2737E+01  0.9989E+00
  0.2725E+01  0.2727E+01  0.9994E+00
  0.2772E+01  0.2775E+01  0.9989E+00
  0.2767E+01  0.2773E+01  0.9976E+00
  0.2663E+01  0.2665E+01  0.9991E+00
