np,time
1,5.423828125
2,3.0899439089698717
4,1.6180028130183928
8,0.8455783450044692
10,0.6949759899871424
12,0.6178669920191169
16,0.48457355704158545
18,0.4498401199816726
20,0.4122358899912797
22,0.3824187070131302
24,0.3837616060045548
