m,meant,maxt,mint,meanb,maxb,minb
 79401,0.7133E-04,0.7820E-04,0.6747E-04,0.8925E+10,0.9414E+10,0.8123E+10
 79451,0.7174E-04,0.8130E-04,0.6747E-04,0.8882E+10,0.9420E+10,0.7818E+10
 79501,0.7520E-04,0.8345E-04,0.7057E-04,0.8489E+10,0.9012E+10,0.7622E+10
 79551,0.7386E-04,0.8154E-04,0.6986E-04,0.8636E+10,0.9110E+10,0.7805E+10
 79601,0.8123E-04,0.9441E-04,0.7272E-04,0.7912E+10,0.8757E+10,0.6745E+10
 79651,0.7379E-04,0.9322E-04,0.6652E-04,0.8730E+10,0.9579E+10,0.6835E+10
 79701,0.7155E-04,0.9084E-04,0.6628E-04,0.8997E+10,0.9620E+10,0.7019E+10
 79751,0.6907E-04,0.8106E-04,0.6580E-04,0.9282E+10,0.9696E+10,0.7871E+10
 79801,0.6850E-04,0.7749E-04,0.6557E-04,0.9343E+10,0.9737E+10,0.8239E+10
 79851,0.6845E-04,0.7677E-04,0.6557E-04,0.9359E+10,0.9743E+10,0.8321E+10
 79901,0.7038E-04,0.9084E-04,0.6557E-04,0.9160E+10,0.9749E+10,0.7037E+10
 79951,0.6876E-04,0.7629E-04,0.6557E-04,0.9327E+10,0.9755E+10,0.8383E+10
 80001,0.6740E-04,0.7200E-04,0.6557E-04,0.9505E+10,0.9761E+10,0.8889E+10
 80051,0.6936E-04,0.7463E-04,0.6604E-04,0.9255E+10,0.9697E+10,0.8582E+10
 80101,0.6926E-04,0.8440E-04,0.6628E-04,0.9296E+10,0.9668E+10,0.7592E+10
 80151,0.6778E-04,0.7248E-04,0.6580E-04,0.9472E+10,0.9744E+10,0.8847E+10
 80201,0.6766E-04,0.7200E-04,0.6580E-04,0.9495E+10,0.9750E+10,0.8911E+10
 80251,0.7017E-04,0.7653E-04,0.6604E-04,0.9163E+10,0.9721E+10,0.8389E+10
 80301,0.7141E-04,0.7415E-04,0.6795E-04,0.9001E+10,0.9454E+10,0.8664E+10
 80351,0.7050E-04,0.7248E-04,0.6938E-04,0.9120E+10,0.9265E+10,0.8869E+10
 80401,0.7138E-04,0.7486E-04,0.7033E-04,0.9013E+10,0.9145E+10,0.8592E+10
 80451,0.7191E-04,0.7844E-04,0.7010E-04,0.8960E+10,0.9182E+10,0.8205E+10
 80501,0.7162E-04,0.7510E-04,0.6843E-04,0.9001E+10,0.9412E+10,0.8575E+10
 80551,0.7174E-04,0.7653E-04,0.7033E-04,0.8988E+10,0.9162E+10,0.8420E+10
 80601,0.8333E-04,0.1214E-03,0.7033E-04,0.7943E+10,0.9168E+10,0.5313E+10
 80651,0.7288E-04,0.8082E-04,0.6628E-04,0.8894E+10,0.9735E+10,0.7983E+10
 80701,0.7665E-04,0.1063E-03,0.6747E-04,0.8607E+10,0.9568E+10,0.6071E+10
 80751,0.7095E-04,0.7558E-04,0.6771E-04,0.9114E+10,0.9541E+10,0.8547E+10
 80801,0.7370E-04,0.9060E-04,0.6914E-04,0.8826E+10,0.9349E+10,0.7135E+10
 80851,0.7157E-04,0.8130E-04,0.6747E-04,0.9066E+10,0.9586E+10,0.7956E+10
 80901,0.6876E-04,0.7701E-04,0.6676E-04,0.9427E+10,0.9695E+10,0.8404E+10
 80951,0.7217E-04,0.8583E-04,0.6747E-04,0.9033E+10,0.9598E+10,0.7545E+10
 81001,0.6993E-04,0.8011E-04,0.6604E-04,0.9317E+10,0.9812E+10,0.8089E+10
 81051,0.6864E-04,0.7534E-04,0.6628E-04,0.9465E+10,0.9783E+10,0.8606E+10
 81101,0.6957E-04,0.7653E-04,0.6628E-04,0.9348E+10,0.9789E+10,0.8478E+10
 81151,0.6814E-04,0.7558E-04,0.6628E-04,0.9543E+10,0.9795E+10,0.8590E+10
 81201,0.6816E-04,0.7582E-04,0.6652E-04,0.9544E+10,0.9766E+10,0.8568E+10
 81251,0.6886E-04,0.7463E-04,0.6652E-04,0.9457E+10,0.9772E+10,0.8710E+10
 81301,0.6912E-04,0.7772E-04,0.6652E-04,0.9430E+10,0.9778E+10,0.8368E+10
 81351,0.7396E-04,0.8202E-04,0.6700E-04,0.8846E+10,0.9714E+10,0.7935E+10
 81401,0.7522E-04,0.8273E-04,0.7105E-04,0.8680E+10,0.9166E+10,0.7871E+10
 81451,0.7195E-04,0.7415E-04,0.6890E-04,0.9060E+10,0.9457E+10,0.8788E+10
 81501,0.7463E-04,0.8798E-04,0.7129E-04,0.8770E+10,0.9146E+10,0.7411E+10
 81551,0.7417E-04,0.8154E-04,0.7153E-04,0.8811E+10,0.9121E+10,0.8001E+10
 81601,0.7246E-04,0.7629E-04,0.7105E-04,0.9013E+10,0.9188E+10,0.8556E+10
 81651,0.7246E-04,0.7725E-04,0.7033E-04,0.9021E+10,0.9287E+10,0.8456E+10
 81701,0.7222E-04,0.7582E-04,0.7010E-04,0.9056E+10,0.9325E+10,0.8621E+10
 81751,0.8214E-04,0.9251E-04,0.7796E-04,0.7978E+10,0.8389E+10,0.7070E+10
 81801,0.8268E-04,0.9704E-04,0.7677E-04,0.7948E+10,0.8524E+10,0.6744E+10
 81851,0.7522E-04,0.8988E-04,0.6890E-04,0.8764E+10,0.9503E+10,0.7285E+10
 81901,0.7968E-04,0.1061E-03,0.7296E-04,0.8322E+10,0.8981E+10,0.6176E+10
 81951,0.7353E-04,0.9227E-04,0.6890E-04,0.8982E+10,0.9515E+10,0.7105E+10
 82001,0.7379E-04,0.8488E-04,0.6962E-04,0.8923E+10,0.9423E+10,0.7729E+10
 82051,0.7014E-04,0.7749E-04,0.6843E-04,0.9369E+10,0.9593E+10,0.8471E+10
 82101,0.8175E-04,0.8821E-04,0.7486E-04,0.8056E+10,0.8773E+10,0.7446E+10
 82151,0.7200E-04,0.8321E-04,0.6747E-04,0.9159E+10,0.9740E+10,0.7898E+10
 82201,0.6990E-04,0.7653E-04,0.6771E-04,0.9422E+10,0.9712E+10,0.8593E+10
 82251,0.7043E-04,0.7606E-04,0.6747E-04,0.9358E+10,0.9752E+10,0.8652E+10
 82301,0.7219E-04,0.8035E-04,0.6795E-04,0.9153E+10,0.9690E+10,0.8195E+10
 82351,0.7071E-04,0.7725E-04,0.6771E-04,0.9336E+10,0.9730E+10,0.8529E+10
 82401,0.7300E-04,0.9108E-04,0.6795E-04,0.9098E+10,0.9701E+10,0.7238E+10
 82451,0.7563E-04,0.1028E-03,0.6795E-04,0.8870E+10,0.9707E+10,0.6419E+10
 82501,0.7010E-04,0.7725E-04,0.6771E-04,0.9439E+10,0.9747E+10,0.8544E+10
 82551,0.7117E-04,0.7844E-04,0.6795E-04,0.9310E+10,0.9719E+10,0.8419E+10
 82601,0.7110E-04,0.8249E-04,0.6795E-04,0.9338E+10,0.9725E+10,0.8010E+10
 82651,0.7801E-04,0.8273E-04,0.7296E-04,0.8485E+10,0.9063E+10,0.7992E+10
 82701,0.8199E-04,0.1061E-03,0.7319E-04,0.8198E+10,0.9039E+10,0.6236E+10
 82751,0.7453E-04,0.8035E-04,0.6866E-04,0.8902E+10,0.9641E+10,0.8239E+10
 82801,0.7353E-04,0.8988E-04,0.6795E-04,0.9074E+10,0.9749E+10,0.7370E+10
 82851,0.7365E-04,0.8130E-04,0.6819E-04,0.9029E+10,0.9720E+10,0.8153E+10
 82901,0.7343E-04,0.8392E-04,0.6843E-04,0.9068E+10,0.9692E+10,0.7903E+10
 82951,0.7124E-04,0.7987E-04,0.6819E-04,0.9346E+10,0.9732E+10,0.8309E+10
 83001,0.7083E-04,0.8011E-04,0.6843E-04,0.9396E+10,0.9704E+10,0.8289E+10
 83051,0.7236E-04,0.8368E-04,0.6819E-04,0.9234E+10,0.9744E+10,0.7939E+10
 83101,0.6924E-04,0.7367E-04,0.6795E-04,0.9609E+10,0.9784E+10,0.9024E+10
 83151,0.6917E-04,0.7200E-04,0.6819E-04,0.9622E+10,0.9756E+10,0.9239E+10
 83201,0.7074E-04,0.7463E-04,0.6819E-04,0.9419E+10,0.9761E+10,0.8919E+10
 83251,0.6959E-04,0.7153E-04,0.6843E-04,0.9572E+10,0.9733E+10,0.9311E+10
 83301,0.6890E-04,0.7105E-04,0.6819E-04,0.9673E+10,0.9773E+10,0.9380E+10
 83351,0.6950E-04,0.7439E-04,0.6795E-04,0.9601E+10,0.9813E+10,0.8964E+10
 83401,0.6888E-04,0.6938E-04,0.6843E-04,0.9687E+10,0.9751E+10,0.9617E+10
 83451,0.6936E-04,0.7105E-04,0.6819E-04,0.9627E+10,0.9791E+10,0.9396E+10
 83501,0.7057E-04,0.7558E-04,0.6843E-04,0.9476E+10,0.9762E+10,0.8839E+10
 83551,0.7002E-04,0.7510E-04,0.6890E-04,0.9551E+10,0.9701E+10,0.8900E+10
 83601,0.7260E-04,0.7796E-04,0.6843E-04,0.9229E+10,0.9774E+10,0.8579E+10
 83651,0.7124E-04,0.7868E-04,0.6890E-04,0.9413E+10,0.9712E+10,0.8506E+10
 83701,0.7191E-04,0.8059E-04,0.6866E-04,0.9344E+10,0.9752E+10,0.8309E+10
 83751,0.7343E-04,0.8154E-04,0.6890E-04,0.9143E+10,0.9724E+10,0.8217E+10
 83801,0.7932E-04,0.8464E-04,0.7558E-04,0.8465E+10,0.8870E+10,0.7921E+10
 83851,0.7255E-04,0.8202E-04,0.6866E-04,0.9279E+10,0.9769E+10,0.8179E+10
 83901,0.7160E-04,0.8011E-04,0.6914E-04,0.9394E+10,0.9708E+10,0.8379E+10
 83951,0.7827E-04,0.8750E-04,0.7010E-04,0.8629E+10,0.9581E+10,0.7676E+10
 84001,0.7679E-04,0.1135E-03,0.6890E-04,0.8952E+10,0.9753E+10,0.5921E+10
 84051,0.7796E-04,0.1171E-03,0.6962E-04,0.8842E+10,0.9659E+10,0.5744E+10
 84101,0.7932E-04,0.1111E-03,0.6962E-04,0.8717E+10,0.9664E+10,0.6056E+10
 84151,0.7322E-04,0.8726E-04,0.6890E-04,0.9245E+10,0.9770E+10,0.7715E+10
 84201,0.7195E-04,0.8321E-04,0.6890E-04,0.9394E+10,0.9776E+10,0.8095E+10
 84251,0.7153E-04,0.7868E-04,0.6866E-04,0.9444E+10,0.9816E+10,0.8567E+10
 84301,0.7114E-04,0.7820E-04,0.6890E-04,0.9498E+10,0.9788E+10,0.8624E+10
 84351,0.7238E-04,0.8106E-04,0.6890E-04,0.9347E+10,0.9794E+10,0.8325E+10
 84401,0.7141E-04,0.7963E-04,0.6890E-04,0.9482E+10,0.9799E+10,0.8479E+10
 84451,0.7174E-04,0.7868E-04,0.6890E-04,0.9441E+10,0.9805E+10,0.8587E+10
 84501,0.7110E-04,0.8011E-04,0.6890E-04,0.9529E+10,0.9811E+10,0.8439E+10
 84551,0.7136E-04,0.7987E-04,0.6890E-04,0.9498E+10,0.9817E+10,0.8469E+10
 84601,0.7291E-04,0.8464E-04,0.6962E-04,0.9313E+10,0.9722E+10,0.7996E+10
 84651,0.7653E-04,0.1042E-03,0.6938E-04,0.8981E+10,0.9761E+10,0.6500E+10
 84701,0.7138E-04,0.7939E-04,0.6938E-04,0.9507E+10,0.9767E+10,0.8535E+10
 84751,0.7141E-04,0.7820E-04,0.6938E-04,0.9510E+10,0.9772E+10,0.8670E+10
 84801,0.7021E-04,0.7558E-04,0.6938E-04,0.9668E+10,0.9778E+10,0.8976E+10
 84851,0.7951E-04,0.8845E-04,0.7486E-04,0.8556E+10,0.9067E+10,0.7674E+10
 84901,0.7706E-04,0.8416E-04,0.7367E-04,0.8832E+10,0.9219E+10,0.8070E+10
 84951,0.7498E-04,0.8178E-04,0.7010E-04,0.9093E+10,0.9696E+10,0.8310E+10
 85001,0.7436E-04,0.8202E-04,0.7105E-04,0.9166E+10,0.9571E+10,0.8291E+10
 85051,0.7191E-04,0.7772E-04,0.6986E-04,0.9476E+10,0.9740E+10,0.8754E+10
 85101,0.7403E-04,0.9394E-04,0.6986E-04,0.9272E+10,0.9746E+10,0.7248E+10
