m,meant,maxt,mint,meanb,maxb,minb
     1,0.7868E-05,0.2384E-04,0.1669E-05,0.1960E+07,0.4793E+07,0.3355E+06
    51,0.5245E-05,0.7153E-05,0.2623E-05,0.8654E+08,0.1556E+09,0.5704E+08
   101,0.5174E-05,0.7153E-05,0.2623E-05,0.1658E+09,0.3081E+09,0.1130E+09
   151,0.7105E-05,0.2122E-04,0.3099E-05,0.2147E+09,0.3897E+09,0.5693E+08
   201,0.6318E-05,0.8583E-05,0.3815E-05,0.2654E+09,0.4215E+09,0.1873E+09
   251,0.5388E-05,0.9537E-05,0.3099E-05,0.4147E+09,0.6479E+09,0.2106E+09
   301,0.6294E-05,0.7629E-05,0.3576E-05,0.3976E+09,0.6733E+09,0.3156E+09
   351,0.6890E-05,0.1097E-04,0.3815E-05,0.4455E+09,0.7361E+09,0.2560E+09
   401,0.7105E-05,0.9775E-05,0.4292E-05,0.4808E+09,0.7475E+09,0.3282E+09
   451,0.9823E-05,0.3910E-04,0.4530E-05,0.5313E+09,0.7965E+09,0.9227E+08
   501,0.1101E-04,0.2718E-04,0.4768E-05,0.4830E+09,0.8405E+09,0.1475E+09
   551,0.1111E-04,0.1502E-04,0.5007E-05,0.4565E+09,0.8804E+09,0.2935E+09
   601,0.1202E-04,0.1979E-04,0.5722E-05,0.4339E+09,0.8403E+09,0.2430E+09
   651,0.1214E-04,0.1645E-04,0.5484E-05,0.4638E+09,0.9497E+09,0.3166E+09
   701,0.1135E-04,0.1597E-04,0.5960E-05,0.5418E+09,0.9409E+09,0.3511E+09
   751,0.1178E-04,0.1550E-04,0.5722E-05,0.5555E+09,0.1050E+10,0.3877E+09
   801,0.1206E-04,0.1764E-04,0.6676E-05,0.5942E+09,0.9599E+09,0.3632E+09
   851,0.1054E-04,0.1836E-04,0.5484E-05,0.7191E+09,0.1242E+10,0.3708E+09
   901,0.9656E-05,0.1383E-04,0.5245E-05,0.8371E+09,0.1374E+10,0.5213E+09
   951,0.9894E-05,0.1216E-04,0.5484E-05,0.8182E+09,0.1387E+10,0.6257E+09
  1001,0.1178E-04,0.1836E-04,0.5484E-05,0.7866E+09,0.1460E+10,0.4362E+09
  1051,0.1011E-04,0.1669E-04,0.6199E-05,0.9472E+09,0.1356E+10,0.5038E+09
  1101,0.1020E-04,0.1502E-04,0.6199E-05,0.9685E+09,0.1421E+10,0.5864E+09
  1151,0.1068E-04,0.1979E-04,0.6437E-05,0.1023E+10,0.1430E+10,0.4653E+09
  1201,0.1495E-04,0.1979E-04,0.7629E-05,0.6863E+09,0.1259E+10,0.4855E+09
  1251,0.1216E-04,0.1860E-04,0.6914E-05,0.9450E+09,0.1447E+10,0.5382E+09
  1301,0.1292E-04,0.1693E-04,0.7153E-05,0.8444E+09,0.1455E+10,0.6148E+09
  1351,0.1278E-04,0.2480E-04,0.7391E-05,0.9905E+09,0.1462E+10,0.4359E+09
  1401,0.1466E-04,0.3171E-04,0.7629E-05,0.9093E+09,0.1469E+10,0.3535E+09
  1451,0.1240E-04,0.2337E-04,0.7629E-05,0.1053E+10,0.1521E+10,0.4968E+09
  1501,0.1488E-04,0.1860E-04,0.9060E-05,0.8362E+09,0.1325E+10,0.6457E+09
  1551,0.2072E-04,0.2980E-04,0.1693E-04,0.6235E+09,0.7330E+09,0.4163E+09
  1601,0.2017E-04,0.2933E-04,0.1574E-04,0.6638E+09,0.8139E+09,0.4368E+09
  1651,0.1514E-04,0.2646E-04,0.8821E-05,0.1007E+10,0.1497E+10,0.4991E+09
  1701,0.1397E-04,0.2837E-04,0.8821E-05,0.1166E+10,0.1543E+10,0.4796E+09
  1751,0.1130E-04,0.2193E-04,0.6437E-05,0.1482E+10,0.2176E+10,0.6386E+09
  1801,0.1001E-04,0.1574E-04,0.6676E-05,0.1635E+10,0.2158E+10,0.9156E+09
  1851,0.1311E-04,0.2217E-04,0.7153E-05,0.1255E+10,0.2070E+10,0.6678E+09
  1901,0.1051E-04,0.1502E-04,0.6914E-05,0.1605E+10,0.2200E+10,0.1012E+10
  1951,0.9847E-05,0.1621E-04,0.7153E-05,0.1719E+10,0.2182E+10,0.9627E+09
  2001,0.1056E-04,0.1502E-04,0.7391E-05,0.1642E+10,0.2166E+10,0.1066E+10
  2051,0.1490E-04,0.2599E-04,0.7391E-05,0.1251E+10,0.2220E+10,0.6314E+09
  2101,0.1409E-04,0.2098E-04,0.7868E-05,0.1310E+10,0.2136E+10,0.8011E+09
  2151,0.1268E-04,0.1621E-04,0.7629E-05,0.1465E+10,0.2255E+10,0.1061E+10
  2201,0.1197E-04,0.1597E-04,0.7868E-05,0.1594E+10,0.2238E+10,0.1102E+10
  2251,0.1338E-04,0.1788E-04,0.7868E-05,0.1482E+10,0.2289E+10,0.1007E+10
  2301,0.1411E-04,0.1717E-04,0.8345E-05,0.1375E+10,0.2206E+10,0.1072E+10
  2351,0.1428E-04,0.2265E-04,0.8345E-05,0.1494E+10,0.2254E+10,0.8304E+09
  2401,0.1290E-04,0.1860E-04,0.9060E-05,0.1593E+10,0.2120E+10,0.1033E+10
  2451,0.1347E-04,0.1884E-04,0.8583E-05,0.1614E+10,0.2284E+10,0.1041E+10
  2501,0.1414E-04,0.3624E-04,0.9060E-05,0.1721E+10,0.2208E+10,0.5521E+09
  2551,0.1662E-04,0.2289E-04,0.9298E-05,0.1301E+10,0.2195E+10,0.8916E+09
  2601,0.1576E-04,0.2742E-04,0.9537E-05,0.1477E+10,0.2182E+10,0.7589E+09
  2651,0.1850E-04,0.5460E-04,0.9775E-05,0.1439E+10,0.2170E+10,0.3884E+09
  2701,0.1438E-04,0.1717E-04,0.1025E-04,0.1542E+10,0.2108E+10,0.1259E+10
  2751,0.1292E-04,0.2599E-04,0.7629E-05,0.1922E+10,0.2885E+10,0.8469E+09
  2801,0.1073E-04,0.1669E-04,0.7153E-05,0.2300E+10,0.3133E+10,0.1343E+10
  2851,0.1056E-04,0.1645E-04,0.7153E-05,0.2343E+10,0.3189E+10,0.1386E+10
  2901,0.1011E-04,0.1693E-04,0.7868E-05,0.2428E+10,0.2950E+10,0.1371E+10
  2951,0.1366E-04,0.2527E-04,0.7868E-05,0.2022E+10,0.3001E+10,0.9341E+09
  3001,0.1044E-04,0.1621E-04,0.7868E-05,0.2464E+10,0.3051E+10,0.1481E+10
  3051,0.1280E-04,0.1979E-04,0.7629E-05,0.2181E+10,0.3199E+10,0.1233E+10
  3101,0.1330E-04,0.2503E-04,0.7629E-05,0.2158E+10,0.3252E+10,0.9910E+09
  3151,0.1283E-04,0.2551E-04,0.8106E-05,0.2260E+10,0.3110E+10,0.9881E+09
  3201,0.1230E-04,0.1597E-04,0.8345E-05,0.2222E+10,0.3069E+10,0.1603E+10
  3251,0.1168E-04,0.1717E-04,0.8106E-05,0.2396E+10,0.3208E+10,0.1515E+10
  3301,0.1452E-04,0.3028E-04,0.8345E-05,0.2024E+10,0.3165E+10,0.8722E+09
  3351,0.1409E-04,0.2337E-04,0.8583E-05,0.2157E+10,0.3123E+10,0.1147E+10
  3401,0.1352E-04,0.1764E-04,0.9298E-05,0.2063E+10,0.2926E+10,0.1542E+10
  3451,0.1464E-04,0.2813E-04,0.8821E-05,0.2123E+10,0.3130E+10,0.9813E+09
  3501,0.1256E-04,0.1812E-04,0.8821E-05,0.2359E+10,0.3175E+10,0.1546E+10
  3551,0.1717E-04,0.2861E-04,0.1216E-04,0.1757E+10,0.2336E+10,0.9929E+09
  3601,0.1321E-04,0.2074E-04,0.9060E-05,0.2286E+10,0.3180E+10,0.1389E+10
  3651,0.1366E-04,0.1812E-04,0.9060E-05,0.2230E+10,0.3224E+10,0.1612E+10
  3701,0.1407E-04,0.1860E-04,0.9298E-05,0.2199E+10,0.3184E+10,0.1592E+10
  3751,0.1419E-04,0.1740E-04,0.9537E-05,0.2177E+10,0.3147E+10,0.1724E+10
  3801,0.1431E-04,0.2074E-04,0.1240E-04,0.2181E+10,0.2453E+10,0.1466E+10
  3851,0.1187E-04,0.1788E-04,0.8106E-05,0.2701E+10,0.3801E+10,0.1723E+10
  3901,0.1109E-04,0.1717E-04,0.8106E-05,0.2991E+10,0.3850E+10,0.1818E+10
  3951,0.1063E-04,0.1287E-04,0.8106E-05,0.3028E+10,0.3899E+10,0.2455E+10
  4001,0.1009E-04,0.1597E-04,0.8106E-05,0.3329E+10,0.3949E+10,0.2004E+10
  4051,0.9847E-05,0.1597E-04,0.8345E-05,0.3447E+10,0.3884E+10,0.2029E+10
  4101,0.1314E-04,0.1931E-04,0.8106E-05,0.2652E+10,0.4047E+10,0.1699E+10
  4151,0.1087E-04,0.1216E-04,0.8345E-05,0.3115E+10,0.3980E+10,0.2731E+10
  4201,0.1130E-04,0.1574E-04,0.8345E-05,0.3121E+10,0.4027E+10,0.2136E+10
  4251,0.1330E-04,0.2360E-04,0.9060E-05,0.2708E+10,0.3754E+10,0.1441E+10
  4301,0.1225E-04,0.1788E-04,0.9060E-05,0.2921E+10,0.3798E+10,0.1924E+10
  4351,0.1252E-04,0.2360E-04,0.8821E-05,0.3012E+10,0.3946E+10,0.1475E+10
  4401,0.2153E-04,0.9584E-04,0.8821E-05,0.2654E+10,0.3991E+10,0.3673E+09
  4451,0.1233E-04,0.1597E-04,0.8821E-05,0.2976E+10,0.4037E+10,0.2229E+10
  4501,0.1156E-04,0.1383E-04,0.8821E-05,0.3219E+10,0.4082E+10,0.2604E+10
  4551,0.1326E-04,0.1884E-04,0.9537E-05,0.2842E+10,0.3818E+10,0.1933E+10
  4601,0.1612E-04,0.2122E-04,0.1335E-04,0.2334E+10,0.2757E+10,0.1735E+10
  4651,0.1264E-04,0.1693E-04,0.8821E-05,0.3076E+10,0.4218E+10,0.2198E+10
  4701,0.1335E-04,0.2146E-04,0.8345E-05,0.3099E+10,0.4507E+10,0.1753E+10
  4751,0.1254E-04,0.1669E-04,0.9298E-05,0.3171E+10,0.4088E+10,0.2277E+10
  4801,0.1285E-04,0.1645E-04,0.9775E-05,0.3048E+10,0.3929E+10,0.2335E+10
  4851,0.1323E-04,0.1955E-04,0.8583E-05,0.3100E+10,0.4521E+10,0.1985E+10
  4901,0.1292E-04,0.1860E-04,0.9298E-05,0.3153E+10,0.4217E+10,0.2108E+10
  4951,0.1309E-04,0.2623E-04,0.9537E-05,0.3275E+10,0.4153E+10,0.1510E+10
  5001,0.1333E-04,0.1884E-04,0.9775E-05,0.3152E+10,0.4093E+10,0.2124E+10
  5051,0.1309E-04,0.2050E-04,0.9537E-05,0.3250E+10,0.4237E+10,0.1971E+10
  5101,0.1431E-04,0.1812E-04,0.1025E-04,0.2919E+10,0.3980E+10,0.2252E+10
  5151,0.1302E-04,0.1574E-04,0.1001E-04,0.3231E+10,0.4115E+10,0.2619E+10
  5201,0.1447E-04,0.1907E-04,0.9537E-05,0.3028E+10,0.4363E+10,0.2181E+10
  5251,0.1297E-04,0.1812E-04,0.1025E-04,0.3349E+10,0.4098E+10,0.2318E+10
  5301,0.1659E-04,0.3433E-04,0.1001E-04,0.3068E+10,0.4235E+10,0.1235E+10
  5351,0.1907E-04,0.3767E-04,0.1001E-04,0.2654E+10,0.4275E+10,0.1136E+10
  5401,0.1445E-04,0.2027E-04,0.1025E-04,0.3127E+10,0.4215E+10,0.2132E+10
  5451,0.1612E-04,0.2193E-04,0.1049E-04,0.2821E+10,0.4157E+10,0.1988E+10
  5501,0.1435E-04,0.1788E-04,0.1025E-04,0.3182E+10,0.4293E+10,0.2461E+10
  5551,0.1700E-04,0.2456E-04,0.1025E-04,0.2846E+10,0.4332E+10,0.1808E+10
  5601,0.1893E-04,0.2909E-04,0.1097E-04,0.2514E+10,0.4086E+10,0.1540E+10
  5651,0.1881E-04,0.3052E-04,0.1049E-04,0.2652E+10,0.4309E+10,0.1481E+10
  5701,0.1631E-04,0.2074E-04,0.1073E-04,0.2988E+10,0.4251E+10,0.2199E+10
  5751,0.1585E-04,0.1860E-04,0.1025E-04,0.3043E+10,0.4488E+10,0.2474E+10
  5801,0.1647E-04,0.2193E-04,0.1073E-04,0.2928E+10,0.4326E+10,0.2116E+10
  5851,0.1528E-04,0.3147E-04,0.1049E-04,0.3420E+10,0.4462E+10,0.1487E+10
  5901,0.1578E-04,0.2241E-04,0.1049E-04,0.3198E+10,0.4500E+10,0.2106E+10
  5951,0.1619E-04,0.1955E-04,0.1049E-04,0.3124E+10,0.4538E+10,0.2435E+10
  6001,0.1733E-04,0.2646E-04,0.1073E-04,0.2961E+10,0.4475E+10,0.1814E+10
  6051,0.1457E-04,0.1907E-04,0.1097E-04,0.3484E+10,0.4414E+10,0.2538E+10
  6101,0.1516E-04,0.1812E-04,0.1144E-04,0.3261E+10,0.4265E+10,0.2694E+10
  6151,0.1547E-04,0.2551E-04,0.1073E-04,0.3388E+10,0.4587E+10,0.1929E+10
  6201,0.1538E-04,0.1812E-04,0.1073E-04,0.3301E+10,0.4624E+10,0.2738E+10
  6251,0.1581E-04,0.2503E-04,0.1121E-04,0.3393E+10,0.4463E+10,0.1998E+10
  6301,0.1485E-04,0.1836E-04,0.1144E-04,0.3487E+10,0.4405E+10,0.2746E+10
  6351,0.1385E-04,0.1550E-04,0.1097E-04,0.3732E+10,0.4633E+10,0.3279E+10
  6401,0.1552E-04,0.1836E-04,0.1144E-04,0.3383E+10,0.4475E+10,0.2789E+10
  6451,0.1483E-04,0.1621E-04,0.1168E-04,0.3505E+10,0.4418E+10,0.3183E+10
  6501,0.1311E-04,0.1717E-04,0.1097E-04,0.4070E+10,0.4742E+10,0.3030E+10
  6551,0.1605E-04,0.2551E-04,0.1097E-04,0.3491E+10,0.4779E+10,0.2054E+10
  6601,0.1345E-04,0.1645E-04,0.1168E-04,0.4017E+10,0.4520E+10,0.3210E+10
  6651,0.1459E-04,0.1955E-04,0.1144E-04,0.3797E+10,0.4649E+10,0.2722E+10
  6701,0.1612E-04,0.1979E-04,0.1168E-04,0.3441E+10,0.4589E+10,0.2709E+10
  6751,0.1616E-04,0.1979E-04,0.1192E-04,0.3445E+10,0.4531E+10,0.2729E+10
  6801,0.1500E-04,0.1907E-04,0.1168E-04,0.3761E+10,0.4657E+10,0.2853E+10
  6851,0.1879E-04,0.2599E-04,0.1192E-04,0.3155E+10,0.4598E+10,0.2109E+10
  6901,0.1495E-04,0.1884E-04,0.1168E-04,0.3838E+10,0.4726E+10,0.2931E+10
  6951,0.1557E-04,0.3004E-04,0.1168E-04,0.3938E+10,0.4760E+10,0.1851E+10
  7001,0.1576E-04,0.2360E-04,0.1168E-04,0.3782E+10,0.4794E+10,0.2373E+10
  7051,0.1523E-04,0.2766E-04,0.1168E-04,0.3973E+10,0.4828E+10,0.2040E+10
  7101,0.1533E-04,0.2003E-04,0.1168E-04,0.3858E+10,0.4863E+10,0.2837E+10
  7151,0.1793E-04,0.2265E-04,0.1240E-04,0.3350E+10,0.4614E+10,0.2526E+10
  7201,0.1729E-04,0.2503E-04,0.1216E-04,0.3506E+10,0.4738E+10,0.2301E+10
  7251,0.1609E-04,0.2003E-04,0.1240E-04,0.3710E+10,0.4679E+10,0.2896E+10
  7301,0.1647E-04,0.2432E-04,0.1240E-04,0.3713E+10,0.4711E+10,0.2402E+10
  7351,0.1814E-04,0.2670E-04,0.1240E-04,0.3492E+10,0.4743E+10,0.2202E+10
  7401,0.1647E-04,0.2456E-04,0.1287E-04,0.3818E+10,0.4599E+10,0.2411E+10
  7451,0.1547E-04,0.2360E-04,0.1264E-04,0.4055E+10,0.4717E+10,0.2525E+10
  7501,0.1607E-04,0.2193E-04,0.1216E-04,0.3928E+10,0.4935E+10,0.2736E+10
  7551,0.1652E-04,0.2456E-04,0.1264E-04,0.3910E+10,0.4781E+10,0.2460E+10
  7601,0.1709E-04,0.2503E-04,0.1264E-04,0.3795E+10,0.4812E+10,0.2429E+10
  7651,0.2167E-04,0.3433E-04,0.1311E-04,0.2993E+10,0.4668E+10,0.1783E+10
  7701,0.2108E-04,0.2527E-04,0.1335E-04,0.3019E+10,0.4614E+10,0.2438E+10
  7751,0.1745E-04,0.2122E-04,0.1287E-04,0.3676E+10,0.4816E+10,0.2922E+10
  7801,0.1678E-04,0.2074E-04,0.1359E-04,0.3830E+10,0.4592E+10,0.3009E+10
  7851,0.1869E-04,0.2956E-04,0.1407E-04,0.3483E+10,0.4465E+10,0.2124E+10
  7901,0.1662E-04,0.2193E-04,0.1311E-04,0.3913E+10,0.4820E+10,0.2882E+10
  7951,0.2413E-04,0.7510E-04,0.1383E-04,0.3247E+10,0.4600E+10,0.8470E+09
  8001,0.1848E-04,0.2241E-04,0.1454E-04,0.3557E+10,0.4401E+10,0.2856E+10
  8051,0.2000E-04,0.2670E-04,0.1407E-04,0.3432E+10,0.4579E+10,0.2412E+10
  8101,0.1960E-04,0.2480E-04,0.1383E-04,0.3440E+10,0.4687E+10,0.2614E+10
  8151,0.1590E-04,0.1979E-04,0.1359E-04,0.4168E+10,0.4798E+10,0.3295E+10
  8201,0.2642E-04,0.1445E-03,0.1240E-04,0.4539E+10,0.5292E+10,0.4541E+09
  8251,0.1285E-04,0.1407E-04,0.1216E-04,0.5144E+10,0.5429E+10,0.4693E+10
  8301,0.1271E-04,0.1335E-04,0.1192E-04,0.5237E+10,0.5571E+10,0.4974E+10
  8351,0.1261E-04,0.1383E-04,0.1168E-04,0.5307E+10,0.5719E+10,0.4831E+10
  8401,0.1287E-04,0.1335E-04,0.1216E-04,0.5224E+10,0.5527E+10,0.5034E+10
  8451,0.1309E-04,0.1597E-04,0.1192E-04,0.5203E+10,0.5671E+10,0.4232E+10
  8501,0.1225E-04,0.1264E-04,0.1168E-04,0.5554E+10,0.5821E+10,0.5382E+10
  8551,0.1237E-04,0.1335E-04,0.1192E-04,0.5535E+10,0.5738E+10,0.5124E+10
  8601,0.1230E-04,0.1311E-04,0.1192E-04,0.5597E+10,0.5772E+10,0.5247E+10
  8651,0.1330E-04,0.2241E-04,0.1192E-04,0.5378E+10,0.5806E+10,0.3088E+10
  8701,0.1240E-04,0.1359E-04,0.1192E-04,0.5621E+10,0.5839E+10,0.5122E+10
  8751,0.1259E-04,0.1311E-04,0.1216E-04,0.5564E+10,0.5758E+10,0.5339E+10
  8801,0.1252E-04,0.1383E-04,0.1216E-04,0.5633E+10,0.5790E+10,0.5092E+10
  8851,0.1266E-04,0.1311E-04,0.1240E-04,0.5596E+10,0.5711E+10,0.5400E+10
  8901,0.1302E-04,0.1383E-04,0.1264E-04,0.5476E+10,0.5635E+10,0.5149E+10
  8951,0.1352E-04,0.1431E-04,0.1264E-04,0.5302E+10,0.5667E+10,0.5006E+10
  9001,0.1354E-04,0.1383E-04,0.1287E-04,0.5320E+10,0.5593E+10,0.5207E+10
  9051,0.1543E-04,0.3147E-04,0.1335E-04,0.5008E+10,0.5423E+10,0.2301E+10
  9101,0.1357E-04,0.1431E-04,0.1264E-04,0.5375E+10,0.5762E+10,0.5090E+10
  9151,0.1380E-04,0.2360E-04,0.1240E-04,0.5493E+10,0.5905E+10,0.3102E+10
  9201,0.1450E-04,0.2170E-04,0.1311E-04,0.5179E+10,0.5613E+10,0.3393E+10
  9251,0.1352E-04,0.1526E-04,0.1287E-04,0.5486E+10,0.5748E+10,0.4850E+10
  9301,0.1347E-04,0.1383E-04,0.1287E-04,0.5526E+10,0.5779E+10,0.5381E+10
  9351,0.1345E-04,0.1383E-04,0.1311E-04,0.5565E+10,0.5705E+10,0.5410E+10
  9401,0.1366E-04,0.1431E-04,0.1311E-04,0.5509E+10,0.5735E+10,0.5257E+10
  9451,0.1385E-04,0.1478E-04,0.1335E-04,0.5462E+10,0.5663E+10,0.5115E+10
  9501,0.1357E-04,0.1454E-04,0.1264E-04,0.5614E+10,0.6015E+10,0.5226E+10
  9551,0.1333E-04,0.1383E-04,0.1287E-04,0.5736E+10,0.5935E+10,0.5525E+10
  9601,0.1357E-04,0.1597E-04,0.1287E-04,0.5681E+10,0.5966E+10,0.4808E+10
  9651,0.1483E-04,0.2885E-04,0.1264E-04,0.5508E+10,0.6110E+10,0.2676E+10
  9701,0.1345E-04,0.1550E-04,0.1311E-04,0.5785E+10,0.5918E+10,0.5008E+10
  9751,0.1299E-04,0.1311E-04,0.1264E-04,0.6004E+10,0.6173E+10,0.5949E+10
  9801,0.1333E-04,0.1383E-04,0.1287E-04,0.5885E+10,0.6090E+10,0.5670E+10
  9851,0.1383E-04,0.1526E-04,0.1311E-04,0.5708E+10,0.6010E+10,0.5165E+10
  9901,0.1373E-04,0.1502E-04,0.1287E-04,0.5777E+10,0.6152E+10,0.5273E+10
  9951,0.1373E-04,0.1454E-04,0.1311E-04,0.5801E+10,0.6071E+10,0.5474E+10
 10001,0.1385E-04,0.1454E-04,0.1264E-04,0.5785E+10,0.6332E+10,0.5501E+10
 10051,0.1376E-04,0.1454E-04,0.1287E-04,0.5853E+10,0.6245E+10,0.5529E+10
 10101,0.1371E-04,0.1407E-04,0.1335E-04,0.5896E+10,0.6052E+10,0.5745E+10
 10151,0.1442E-04,0.2193E-04,0.1287E-04,0.5752E+10,0.6308E+10,0.3702E+10
 10201,0.1371E-04,0.1454E-04,0.1264E-04,0.5960E+10,0.6458E+10,0.5611E+10
 10251,0.1538E-04,0.1836E-04,0.1335E-04,0.5405E+10,0.6142E+10,0.4467E+10
 10301,0.1459E-04,0.1574E-04,0.1359E-04,0.5659E+10,0.6064E+10,0.5237E+10
 10351,0.1438E-04,0.1502E-04,0.1383E-04,0.5764E+10,0.5988E+10,0.5513E+10
 10401,0.1564E-04,0.1812E-04,0.1454E-04,0.5346E+10,0.5721E+10,0.4592E+10
 10451,0.1526E-04,0.1597E-04,0.1478E-04,0.5484E+10,0.5656E+10,0.5234E+10
 10501,0.1526E-04,0.1669E-04,0.1359E-04,0.5521E+10,0.6182E+10,0.5034E+10
 10551,0.1452E-04,0.1550E-04,0.1383E-04,0.5820E+10,0.6104E+10,0.5447E+10
 10601,0.1495E-04,0.1621E-04,0.1407E-04,0.5681E+10,0.6029E+10,0.5231E+10
 10651,0.1466E-04,0.1550E-04,0.1407E-04,0.5818E+10,0.6057E+10,0.5498E+10
 10701,0.1554E-04,0.2337E-04,0.1431E-04,0.5618E+10,0.5984E+10,0.3664E+10
 10751,0.1478E-04,0.1526E-04,0.1431E-04,0.5821E+10,0.6012E+10,0.5637E+10
 10801,0.1447E-04,0.1550E-04,0.1359E-04,0.5978E+10,0.6358E+10,0.5576E+10
 10851,0.1493E-04,0.1597E-04,0.1431E-04,0.5824E+10,0.6068E+10,0.5434E+10
 10901,0.1504E-04,0.1574E-04,0.1431E-04,0.5801E+10,0.6096E+10,0.5542E+10
 10951,0.1452E-04,0.1597E-04,0.1407E-04,0.6043E+10,0.6228E+10,0.5484E+10
 11001,0.1495E-04,0.1693E-04,0.1383E-04,0.5902E+10,0.6364E+10,0.5199E+10
 11051,0.1459E-04,0.1526E-04,0.1407E-04,0.6064E+10,0.6285E+10,0.5794E+10
 11101,0.1464E-04,0.1526E-04,0.1383E-04,0.6072E+10,0.6422E+10,0.5820E+10
 11151,0.1481E-04,0.1669E-04,0.1431E-04,0.6036E+10,0.6236E+10,0.5345E+10
 11201,0.1547E-04,0.2170E-04,0.1407E-04,0.5873E+10,0.6370E+10,0.4130E+10
 11251,0.1500E-04,0.1669E-04,0.1407E-04,0.6019E+10,0.6399E+10,0.5393E+10
 11301,0.1462E-04,0.1550E-04,0.1407E-04,0.6191E+10,0.6427E+10,0.5834E+10
 11351,0.1478E-04,0.1550E-04,0.1431E-04,0.6149E+10,0.6348E+10,0.5860E+10
 11401,0.1466E-04,0.1550E-04,0.1431E-04,0.6224E+10,0.6376E+10,0.5885E+10
 11451,0.1471E-04,0.1550E-04,0.1383E-04,0.6234E+10,0.6625E+10,0.5911E+10
 11501,0.1462E-04,0.1597E-04,0.1359E-04,0.6315E+10,0.6770E+10,0.5760E+10
 11551,0.1612E-04,0.1979E-04,0.1526E-04,0.5764E+10,0.6056E+10,0.4670E+10
 11601,0.1519E-04,0.1693E-04,0.1407E-04,0.6124E+10,0.6598E+10,0.5483E+10
 11651,0.1559E-04,0.1693E-04,0.1502E-04,0.5986E+10,0.6205E+10,0.5506E+10
 11701,0.1669E-04,0.2480E-04,0.1454E-04,0.5751E+10,0.6436E+10,0.3775E+10
 11751,0.1507E-04,0.1597E-04,0.1431E-04,0.6251E+10,0.6572E+10,0.5885E+10
 11801,0.1488E-04,0.1550E-04,0.1454E-04,0.6348E+10,0.6491E+10,0.6092E+10
 11851,0.1493E-04,0.1669E-04,0.1383E-04,0.6368E+10,0.6856E+10,0.5681E+10
 11901,0.1454E-04,0.1502E-04,0.1383E-04,0.6551E+10,0.6885E+10,0.6339E+10
 11951,0.1442E-04,0.1502E-04,0.1359E-04,0.6635E+10,0.7035E+10,0.6365E+10
 12001,0.1454E-04,0.1526E-04,0.1383E-04,0.6608E+10,0.6943E+10,0.6292E+10
 12051,0.1471E-04,0.1597E-04,0.1383E-04,0.6566E+10,0.6972E+10,0.6035E+10
 12101,0.1543E-04,0.1669E-04,0.1407E-04,0.6295E+10,0.6882E+10,0.5801E+10
 12151,0.1535E-04,0.1597E-04,0.1502E-04,0.6333E+10,0.6472E+10,0.6085E+10
 12201,0.1605E-04,0.2170E-04,0.1526E-04,0.6149E+10,0.6397E+10,0.4499E+10
 12251,0.1647E-04,0.1907E-04,0.1526E-04,0.5971E+10,0.6423E+10,0.5138E+10
 12301,0.1621E-04,0.1955E-04,0.1526E-04,0.6098E+10,0.6449E+10,0.5034E+10
 12351,0.1616E-04,0.1669E-04,0.1550E-04,0.6116E+10,0.6376E+10,0.5920E+10
 12401,0.1614E-04,0.1669E-04,0.1574E-04,0.6149E+10,0.6305E+10,0.5944E+10
 12451,0.1564E-04,0.1645E-04,0.1526E-04,0.6373E+10,0.6528E+10,0.6055E+10
 12501,0.1533E-04,0.1669E-04,0.1454E-04,0.6536E+10,0.6876E+10,0.5992E+10
 12551,0.1595E-04,0.1740E-04,0.1502E-04,0.6304E+10,0.6685E+10,0.5769E+10
 12601,0.1578E-04,0.1669E-04,0.1502E-04,0.6393E+10,0.6711E+10,0.6040E+10
 12651,0.1576E-04,0.1621E-04,0.1478E-04,0.6428E+10,0.6847E+10,0.6243E+10
 12701,0.1614E-04,0.1717E-04,0.1526E-04,0.6302E+10,0.6659E+10,0.5919E+10
 12751,0.1733E-04,0.2670E-04,0.1574E-04,0.6019E+10,0.6483E+10,0.3820E+10
 12801,0.1612E-04,0.1717E-04,0.1454E-04,0.6368E+10,0.7041E+10,0.5966E+10
 12851,0.1636E-04,0.1740E-04,0.1550E-04,0.6293E+10,0.6634E+10,0.5907E+10
 12901,0.1764E-04,0.2408E-04,0.1526E-04,0.5985E+10,0.6764E+10,0.4286E+10
 12951,0.1681E-04,0.1764E-04,0.1597E-04,0.6168E+10,0.6486E+10,0.5872E+10
 13001,0.1683E-04,0.1836E-04,0.1550E-04,0.6194E+10,0.6711E+10,0.5665E+10
 13051,0.1633E-04,0.1764E-04,0.1526E-04,0.6411E+10,0.6842E+10,0.5918E+10
 13101,0.1554E-04,0.1693E-04,0.1454E-04,0.6758E+10,0.7207E+10,0.6192E+10
 13151,0.1717E-04,0.1740E-04,0.1669E-04,0.6130E+10,0.6304E+10,0.6045E+10
 13201,0.1738E-04,0.1907E-04,0.1502E-04,0.6103E+10,0.7031E+10,0.5537E+10
 13251,0.1833E-04,0.3147E-04,0.1597E-04,0.5999E+10,0.6636E+10,0.3368E+10
 13301,0.1705E-04,0.1812E-04,0.1621E-04,0.6249E+10,0.6563E+10,0.5872E+10
 13351,0.1690E-04,0.1812E-04,0.1621E-04,0.6328E+10,0.6588E+10,0.5895E+10
 13401,0.1700E-04,0.1931E-04,0.1621E-04,0.6321E+10,0.6613E+10,0.5551E+10
